Date,Open,High,Low,Close,Adj Close,Volume
2022-02-02,50.049999,50.099998,49.389999,49.980000,49.524689,460939
2022-02-03,49.990002,50.000000,48.259998,48.919998,48.474342,327262
2022-02-04,48.939999,52.169998,48.939999,51.040001,50.575035,771902
2022-02-08,50.770000,51.750000,50.130001,51.060001,50.594852,353955
2022-02-09,50.900002,52.099998,50.900002,51.880001,51.407383,320173
2022-02-10,51.139999,52.049999,50.639999,51.400002,50.931755,529200
2022-02-11,51.380001,51.799999,49.779999,50.160000,49.703049,680333
2022-02-14,49.880001,50.330002,49.000000,49.380001,48.930157,1601602
2022-02-15,49.889999,51.240002,49.610001,50.200001,49.742687,905080
2022-02-16,50.250000,50.990002,49.910000,50.540001,50.079590,702557
2022-02-17,50.990002,50.990002,49.730000,50.180000,49.722866,576329
2022-02-18,50.509998,53.500000,50.509998,51.630001,51.159660,2279248
2022-02-21,51.709999,53.900002,51.470001,52.279999,51.803734,113395
2022-02-22,52.599998,53.000000,51.560001,52.400002,51.922646,1311382
2022-02-23,52.500000,52.849998,50.250000,50.639999,50.178677,642447
2022-02-24,50.009998,51.119999,49.000000,50.820000,50.357037,9909218
2022-02-25,51.000000,51.779999,50.009998,50.759998,50.297581,454839
2022-02-28,50.419998,51.630001,50.110001,51.360001,50.892120,4328802
2022-03-01,51.740002,51.740002,49.209999,49.849998,49.395874,1338645
2022-03-02,49.889999,51.209999,49.520000,50.619999,50.158859,1060897
2022-03-03,50.619999,51.270000,48.900002,49.040001,48.593254,962455
2022-03-04,49.500000,49.790001,47.650002,48.090000,47.651909,825882
2022-03-07,48.049999,48.049999,45.669998,47.380001,46.948376,1126183
2022-03-08,47.459999,47.480000,46.110001,46.509998,46.086300,1819189
2022-03-09,47.049999,47.400002,46.380001,46.730000,46.304295,10308414
2022-03-10,46.730000,47.540001,46.200001,46.520000,46.096210,1940217
2022-03-11,46.730000,46.820000,45.680000,46.490002,46.066486,1137467
2022-03-14,46.889999,46.889999,45.490002,46.099998,45.680035,1782896
2022-03-15,45.610001,46.189999,45.130001,45.590000,45.174683,1965735
2022-03-16,46.070000,47.160000,45.880001,46.480000,46.056572,2028693
2022-03-17,47.000000,47.169998,45.459999,46.590000,46.165573,2759850
2022-03-18,46.630001,46.779999,45.630001,46.459999,46.036755,6281855
2022-03-22,46.770000,47.290001,45.950001,46.910000,46.482658,10040040
2022-03-23,46.919998,47.230000,46.009998,46.369999,45.947575,900944
2022-03-24,46.520000,46.820000,45.900002,46.580002,46.155666,1460083
2022-03-25,46.770000,47.459999,45.650002,47.320000,46.888920,1312440
2022-03-28,47.570000,48.509998,47.090000,48.240002,47.800541,1171584
2022-03-29,48.369999,49.009998,47.939999,48.439999,47.998718,3015821
2022-03-30,48.380001,49.040001,48.209999,48.900002,48.454529,1709232
2022-03-31,48.980000,49.430000,48.639999,48.950001,48.504074,1704532
2022-04-01,49.029999,49.070000,47.459999,48.020000,47.582546,1296005
2022-04-04,48.000000,48.180000,46.799999,47.200001,46.770016,1204635
2022-04-05,47.150002,47.150002,45.830002,46.580002,46.155666,1384678
2022-04-06,46.599998,46.650002,45.369999,45.560001,45.144955,1453581
2022-04-07,45.770000,46.310001,45.209999,45.770000,45.353043,39266694
2022-04-08,45.980000,48.220001,45.980000,47.900002,47.463638,1934199
2022-04-11,47.889999,48.270000,47.369999,48.119999,47.681633,7630331
2022-04-12,48.259998,48.330002,46.610001,46.869999,46.443020,817469
2022-04-13,46.980000,48.150002,46.330002,47.869999,47.433910,2120222
2022-04-18,47.110001,47.790001,46.560001,46.759998,46.334023,692016
2022-04-19,46.779999,47.880001,46.430000,47.740002,47.305096,1188118
2022-04-20,47.730000,48.599998,46.900002,48.419998,47.978901,1716323
2022-04-21,48.720001,48.720001,46.509998,46.619999,46.195297,753000
2022-04-22,46.990002,48.410000,46.009998,47.970001,47.533001,1728617
2022-04-25,47.970001,49.150002,47.160000,47.750000,47.315006,2387618
2022-04-26,47.869999,47.889999,46.570000,46.849998,46.423203,3041873
2022-04-27,47.180000,48.189999,46.820000,47.770000,47.334824,2896839
2022-04-28,48.200001,48.450001,46.820000,48.270000,47.830269,1777210
2022-04-29,47.970001,51.299999,47.970001,50.869999,50.406582,5999853
2022-05-02,50.759998,52.080002,50.259998,51.910000,51.437107,2477299
